Model settings:
Alpha = 1, Features encoder depth = 34, Cognition encoder depth = 6, Latent space dimension = 6, Data normalized = True
Features encoder dimensions = [14753, 13006, 12264, 11775, 10875, 9729, 9303, 8852, 8000, 8000, 7642, 7175, 6949, 6810, 6311, 6000, 5823, 5583, 5245, 4990, 3629, 3000, 2732, 1200, 1950, 1655, 1500, 1414, 1032, 827, 665, 301, 135, 50]
Cognition encoder dimensions = [12, 11, 10, 9, 8, 7]
Learning curve mode = False
********************
  epoch    l2_norm    reconst_loss    score    train_loss     dur
    233     0.6388          1.3080  15.8955        [31m1.9468[0m  0.5645
    234     0.6856          1.2556  17.5971        [31m1.9412[0m  0.5644
    235     0.7019          1.3063  16.1653        2.0082  0.5648
    236     0.7162          1.3013  16.2550        2.0175  0.5645
    237     0.6918          1.2728  18.6120        1.9646  0.5626
    238     0.6501          1.2908  19.3967        [31m1.9409[0m  0.5637
    239     0.7022          1.3219  22.2062        2.0241  0.5642
    240     0.6710          1.2931  19.6077        1.9641  0.5634
    241     0.6878          1.3118  15.6878        1.9995  0.5639
    242     0.7291          1.2869  20.5654        2.0160  0.5628
    243     0.6678          1.2746  18.0042        1.9425  0.5644
    244     0.6594          1.2797  14.1738        [31m1.9390[0m  0.5721
    245     0.6823          1.2785  20.3519        1.9609  0.5629
    246     0.7022          1.2984  15.4298        2.0006  0.5648
    247     0.6774          1.2854  16.0068        1.9628  0.5634
    248     0.7199          1.3355  14.1436        2.0554  0.5645
    249     0.6745          1.3098  21.0776        1.9844  0.5641
    250     0.7097          1.2859  18.4774        1.9956  0.5644
    251     0.6537          1.2573  21.0279        [31m1.9110[0m  0.5635
    252     0.6632          1.3189  15.2200        1.9821  0.5727
    253     0.6867          1.3085  22.2424        1.9952  0.5644
    254     0.6393          1.2957  18.9616        1.9350  0.5639
    255     0.6367          1.2713  17.1500        [31m1.9080[0m  0.5638
    256     0.6324          1.2864  23.1164        1.9187  0.5637
    257     0.6887          1.3352  17.6597        2.0240  0.5628
    258     0.6934          1.2870  17.5164        1.9803  0.5649
    259     0.6690          1.3304  20.4533        1.9994  0.5645
    260     0.6741          1.2554  16.1600        1.9295  0.5649
    261     0.6513          1.2444  16.1402        [31m1.8957[0m  0.5655
    262     0.6672          1.3005  16.3719        1.9677  0.5639
